,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,Issuance type,Flickr URL,Shelfmarks
194,Graduate,No,4191,0.0,120.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074635,British Library HMNTS 012630.h.20.
195,Graduate,No,3125,2583.0,170.0,360.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074645,British Library HMNTS 644.k.16.(7.)|British Library HMNTS 11630.d.12.(1.)|British Library HMNTS 11630.e.16.(20.)|British Library HMNTS 1465.i.6.(3.)
196,Graduate,No,8333,3750.0,187.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000074647,British Library HMNTS 992.h.11.(5.)
199,Graduate,Yes,11000,0.0,83.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000075692,British Library HMNTS 643.h.2.(12.)
200,Not Graduate,No,2600,2500.0,90.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000075704,British Library HMNTS 1162.h.33.|British Library HMNTS 1077.l.3.(6.)|British Library HMNTS 162.l.48.
201,Graduate,No,4923,0.0,166.0,360.0,0.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000076338,British Library HMNTS 9772.s.3.
203,Not Graduate,No,3500,1083.0,135.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077405,British Library HMNTS 11651.l.12.
204,Not Graduate,No,3917,0.0,124.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077482,British Library HMNTS 1426.c.6.
205,Not Graduate,No,4408,0.0,120.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077495,British Library HMNTS 10280.c.19.
206,Graduate,No,3244,0.0,80.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000077554,British Library HMNTS 10250.c.16.
207,Not Graduate,No,3975,2531.0,55.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078142,British Library HMNTS 012632.h.54.
208,Graduate,No,2479,0.0,59.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078735,British Library HMNTS 11648.f.7.
209,Graduate,No,3418,0.0,127.0,360.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000078740,British Library HMNTS 10369.ccc.8.
210,Graduate,No,10000,0.0,214.0,360.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000079249,British Library HMNTS 010057.i.29.
211,Graduate,No,3430,1250.0,128.0,360.0,0.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000080465,British Library HMNTS 11651.m.41.
212,Graduate,Yes,7787,0.0,240.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000080911,British Library HMNTS 10095.cc.24.
213,Not Graduate,Yes,5703,0.0,130.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000081414,British Library HMNTS 012628.i.15.
214,Graduate,No,3173,3021.0,137.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000081458,British Library HMNTS 010368.ff.8.
215,Not Graduate,No,3850,983.0,100.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000082105,British Library HMNTS 10348.e.15.(1.)
216,Graduate,No,150,1800.0,135.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000084631,British Library HMNTS 9603.ee.12.
217,Graduate,No,3727,1775.0,131.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000085672,British Library HMNTS 9406.i.4.
220,Graduate,No,2221,0.0,60.0,360.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000088350,British Library HMNTS 09225.h.3.
221,Graduate,No,4009,1717.0,116.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000089469,British Library HMNTS 11779.g.11.
222,Graduate,No,2971,2791.0,144.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000089796,British Library HMNTS 10077.i.11.
224,Graduate,No,6250,0.0,128.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090417,British Library HMNTS 12626.i.3.
225,Graduate,No,3250,0.0,170.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000090432,British Library HMNTS 12631.n.1.
227,Graduate,No,6250,1695.0,210.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091083,British Library HMNTS 10058.l.13.|British Library HMNTS 215.d.1-3.|British Library HMNTS G.2276-8.|British Library HMNTS 455.f.12-14.|British Library OC W 3011
229,Graduate,Yes,6400,0.0,200.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000091396,British Library HMNTS 10131.g.31.
230,Graduate,No,2491,2054.0,104.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000092162,British Library HMNTS 10136.g.11.
233,Graduate,No,8333,0.0,280.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093014,British Library HMNTS 010358.g.30.
234,Graduate,No,3155,1779.0,140.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093061,British Library HMNTS 994.i.3.|British Library HMNTS 10362.df.43.
235,Graduate,No,5500,1260.0,170.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000093082,British Library HMNTS 012626.l.60.|British Library OC T 41349
238,Graduate,No,3812,0.0,112.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094393,British Library HMNTS 11641.g.1.
239,Graduate,No,3315,0.0,96.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094484,British Library HMNTS 012639.m.19.
240,Graduate,No,5819,5000.0,120.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094545,British Library HMNTS 1304.h.1.
241,Not Graduate,No,2510,1983.0,140.0,180.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094892,British Library HMNTS 796.g.28.
242,Graduate,No,2965,5701.0,155.0,60.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000094906,British Library HMNTS 11642.f.40.(2.)
243,Graduate,Yes,6250,1300.0,108.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000095781,British Library HMNTS 010077.g.16.
244,Not Graduate,No,3406,4417.0,123.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000096025,British Library HMNTS 12630.b.1.
245,Graduate,Yes,6050,4333.0,120.0,180.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000098625,British Library HMNTS 643.e.16.(4.)|British Library HMNTS 11779.c.88.(13.)|British Library HMNTS 161.d.49.
246,Graduate,No,9703,0.0,112.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099576,British Library HMNTS 643.f.2.(4.)
247,Not Graduate,No,6608,0.0,137.0,180.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099578,British Library HMNTS 11642.bb.58.
248,Graduate,No,2882,1843.0,123.0,480.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099583,British Library HMNTS 12621.g.10.|British Library HMNTS C.140.e.30.(3.)
249,Graduate,No,1809,1868.0,90.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099710,British Library HMNTS 643.e.14.(4.)|British Library HMNTS 161.d.50.
250,Not Graduate,No,1668,3890.0,201.0,360.0,0.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000099961,British Library HMNTS 994.k.41.
251,Graduate,No,3427,0.0,138.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000100453,British Library HMNTS 10409.e.25.
252,Not Graduate,Yes,2583,2167.0,104.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000100850,British Library HMNTS 12620.h.28.
253,Not Graduate,No,2661,7101.0,279.0,180.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101009,British Library HMNTS 643.e.6.(11.)|British Library HMNTS 161.d.51.
254,Graduate,Yes,16250,0.0,192.0,360.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101363,British Library HMNTS 11643.n.2.
255,Graduate,No,3083,0.0,255.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000101366,British Library HMNTS 11645.g.19.
256,Not Graduate,No,6045,0.0,115.0,360.0,0.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103149,British Library HMNTS 10077.bbb.21.
257,Graduate,No,5250,0.0,94.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000103877,British Library HMNTS 12269.cc.12.|British Library HMNTS 12268.e.1.
258,Graduate,No,14683,2100.0,304.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000104150,British Library HMNTS 9210.d.7.
261,Graduate,No,2060,2209.0,134.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106158,British Library HMNTS 10136.f.21.
262,Graduate,No,3481,0.0,155.0,36.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106294,British Library HMNTS 10460.e.12.
263,Graduate,No,7200,0.0,120.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106624,British Library HMNTS 11770.g.8.
264,Graduate,Yes,5166,0.0,128.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000106918,British Library HMNTS 10097.df.2.
265,Graduate,No,4095,3447.0,151.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107010,British Library HMNTS 9305.dd.23.
266,Graduate,No,4708,1387.0,150.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107307,British Library HMNTS 9415.k.2.
267,Graduate,No,4333,1811.0,160.0,360.0,0.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000107921,British Library HMNTS 11779.f.8.
269,Graduate,No,2876,1560.0,90.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000108063,British Library HMNTS 9210.dd.2.
270,Graduate,No,3237,0.0,30.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109420,British Library HMNTS 10281.f.10.
271,Graduate,No,11146,0.0,136.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109429,British Library HMNTS 643.f.24.(4.)
272,Graduate,No,2833,1857.0,126.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109445,British Library HMNTS 9226.h.21.
273,Graduate,No,2620,2223.0,150.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000109932,British Library HMNTS 10160.ff.11.
274,Graduate,No,3900,0.0,90.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000110749,British Library HMNTS 010168.g.4.
275,Graduate,No,2750,1842.0,115.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111406,British Library HMNTS 643.d.83.|British Library HMNTS 163.h.24.
276,Graduate,No,3993,3274.0,207.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111455,British Library HMNTS 644.k.17.(1.)|British Library HMNTS 11630.e.1.(2.)|British Library HMNTS 74.f.9.
277,Graduate,No,3103,1300.0,80.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111669,British Library HMNTS 520.l.5.
278,Graduate,No,14583,0.0,436.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000111869,British Library HMNTS 527.i.10.
280,Not Graduate,Yes,4053,2426.0,158.0,360.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000112593,British Library HMNTS 520.e.19.
281,Graduate,No,3927,800.0,112.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000115066,British Library HMNTS 012639.l.10.
282,Graduate,No,2301,985.7999878,78.0,180.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000116525,British Library HMNTS 12627.b.9.
283,Graduate,No,1811,1666.0,54.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000117698,British Library HMNTS 10174.d.7.
285,Graduate,No,3158,3053.0,89.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119124,British Library HMNTS 010057.g.3.
286,Graduate,Yes,2600,1717.0,99.0,300.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119421,British Library HMNTS 11652.bbb.20.
287,Graduate,No,3704,2000.0,120.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119498,British Library HMNTS 12624.f.10.|British Library HMNTS C.140.b.33.
288,Graduate,No,4124,0.0,115.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119514,British Library HMNTS 12635.cc.1.
289,Graduate,No,9508,0.0,187.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119572,British Library HMNTS 10095.f.1.
290,Graduate,No,3075,2416.0,139.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119589,British Library HMNTS 12624.a.7.
291,Graduate,No,4400,0.0,127.0,360.0,0.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000119831,British Library HMNTS 11612.f.5.
292,Graduate,No,3153,1560.0,134.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000120150,British Library HMNTS 1307.g.10.|British Library HMNTS 1307.g.11.
294,Graduate,No,2383,3334.0,172.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122224,British Library HMNTS 1309.e.3.(2.)
296,Graduate,No,6875,0.0,200.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122226,British Library HMNTS 9026.ff.18.
297,Graduate,No,4666,0.0,135.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122277,British Library HMNTS 10126.d.7.
298,Graduate,No,5000,2541.0,151.0,480.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122281,British Library HMNTS 10126.d.5.
299,Graduate,No,2014,2925.0,113.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122459,British Library HMNTS 10136.h.8.
300,Not Graduate,No,1800,2934.0,93.0,360.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000122610,British Library HMNTS 10497.e.51.(1.)
302,Graduate,No,5000,0.0,132.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123451,British Library HMNTS 11630.c.5.(9.)|British Library HMNTS 11642.h.43.(4.)|British Library HMNTS 840.l.2.(1.)|British Library HMNTS 1485.ff.8.
303,Graduate,No,1625,1803.0,96.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000123464,British Library HMNTS 1077.h.60.(1.)|British Library HMNTS C.116.b.2.(4.)
304,Graduate,No,4000,2500.0,140.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124015,British Library HMNTS 12637.aaa.18.
306,Graduate,No,3762,1666.0,135.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124034,British Library HMNTS 12623.ee.24.
307,Graduate,No,2400,1863.0,104.0,360.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124229,British Library HMNTS 11781.e.52.
308,Graduate,No,20233,0.0,480.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124490,British Library HMNTS 10358.cc.33.
310,Graduate,No,2917,0.0,84.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124885,British Library HMNTS 011650.k.89.(3.)
311,Not Graduate,No,2927,2405.0,111.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000124931,British Library HMNTS 12631.bb.13.
312,Graduate,No,2507,0.0,56.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000126091,British Library HMNTS 11645.h.14.
315,Not Graduate,No,3399,1640.0,111.0,180.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000127777,British Library HMNTS 10368.s.1.
316,Graduate,No,3717,0.0,120.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000128110,British Library HMNTS 12634.e.2.
319,Graduate,Yes,10000,0.0,155.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130655,British Library HMNTS 10004.d.7.
320,Graduate,No,2400,2167.0,115.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000130656,British Library HMNTS 1426.d.18.
321,Graduate,No,4342,189.0,124.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131442,British Library HMNTS 993.h.2.|British Library HMNTS 11642.ee.13.
324,Graduate,No,15000,0.0,300.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000131924,British Library HMNTS 11602.f.20.(4.)
325,Graduate,Yes,8666,4983.0,376.0,360.0,0.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132377,British Library HMNTS 720.g.17.
326,Graduate,No,4917,0.0,130.0,360.0,0.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132719,British Library HMNTS 9603.cc.22.
327,Graduate,Yes,5818,2160.0,184.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000132894,British Library HMNTS 12629.k.5.
328,Graduate,No,4333,2451.0,110.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133253,British Library HMNTS 642.h.28.(3.)|British Library HMNTS 161.c.4.
329,Graduate,No,2500,0.0,67.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133408,British Library HMNTS 10460.f.33.
330,Graduate,No,4384,1793.0,117.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133409,British Library HMNTS 10460.d.25.
331,Graduate,No,2935,0.0,98.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000133732,British Library HMNTS C.108.f.5.(2.)|British Library HMNTS 1346.k.13.(3.)|British Library HMNTS 11602.h.13.(4.)|British Library HMNTS C.108.g.21.(3.)
337,Graduate,Yes,2500,4600.0,176.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000134862,British Library HMNTS 11781.f.56.
339,Graduate,No,4160,0.0,71.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000136478,British Library HMNTS 10352.b.14.
340,Not Graduate,No,2647,1587.0,173.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000137423,British Library HMNTS 10412.e.24.
341,Graduate,No,2378,0.0,46.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000137729,British Library HMNTS 10460.ee.30.
342,Not Graduate,No,4554,1229.0,158.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000138105,British Library HMNTS 10172.i.19.
343,Not Graduate,No,3173,0.0,74.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000138625,British Library HMNTS 10171.h.6.
345,Graduate,No,2499,2458.0,160.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000139716,British Library HMNTS 9226.g.13.
347,Not Graduate,No,3083,2168.0,126.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000140848,British Library HMNTS 10170.l.4.
349,Graduate,No,2625,6250.0,187.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000141476,British Library HMNTS 1060.g.20.
350,Graduate,No,9083,0.0,228.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000142998,British Library HMNTS 12641.ee.5.
351,Graduate,No,8750,4167.0,308.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000143268,British Library HMNTS 9231.m.3.
352,Graduate,No,2666,2083.0,95.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144509,British Library HMNTS 012621.h.27.
353,Graduate,Yes,5500,0.0,105.0,360.0,0.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144558,British Library HMNTS 012621.h.38.
354,Graduate,No,2423,505.0,130.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144597,British Library HMNTS 012624.ee.28.
356,Graduate,No,8333,3167.0,165.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000144749,British Library HMNTS 012624.g.5.
357,Graduate,No,3875,0.0,67.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147495,British Library HMNTS 10099.k.41.
358,Not Graduate,No,3000,1666.0,100.0,480.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147555,British Library HMNTS 10492.ee.25.
359,Graduate,No,5167,3167.0,200.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147715,British Library HMNTS 1304.k.16.
360,Graduate,No,4723,0.0,81.0,360.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000147808,British Library HMNTS 1431.d.16.
361,Graduate,No,5000,3667.0,236.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000150264,British Library HMNTS 1046.c.9.|British Library OC T 10475|British Library OC V 1788
362,Graduate,No,4750,2333.0,130.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000151889,British Library HMNTS 10481.g.16.
364,Graduate,Yes,6822,0.0,141.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000151907,British Library HMNTS 10095.e.9.
365,Not Graduate,No,6216,0.0,133.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000151917,British Library HMNTS 10480.e.9.
366,Graduate,No,2500,0.0,96.0,480.0,1.0,Semiurban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000152291,British Library HMNTS 12627.e.11.
368,Graduate,No,6325,0.0,175.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000155295,British Library HMNTS 10480.e.4.|British Library HMNTS 1560/2193.
369,Graduate,No,19730,5266.0,570.0,360.0,1.0,Rural,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000155304,British Library HMNTS 10480.dd.22.
370,Graduate,Yes,15759,0.0,55.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000155307,British Library HMNTS 10481.ff.38.
371,Graduate,No,5185,0.0,155.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156291,British Library HMNTS 12621.h.2.
372,Graduate,Yes,9323,7873.0,380.0,300.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156352,British Library HMNTS 12629.c.1.
373,Graduate,No,3062,1987.0,111.0,180.0,0.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156353,British Library HMNTS 12625.d.1.
375,Graduate,No,4817,923.0,120.0,180.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156356,British Library HMNTS 12627.b.1.
376,Graduate,No,8750,4996.0,130.0,360.0,1.0,Rural,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156358,British Library HMNTS 12624.a.1.
378,Graduate,No,3069,0.0,71.0,480.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000156798,British Library HMNTS 011645.e.17.
379,Graduate,No,5391,0.0,130.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157004,British Library HMNTS 10169.bbb.31.
381,Graduate,No,5941,4232.0,296.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157305,British Library HMNTS 11646.h.8.
382,Graduate,No,6000,0.0,156.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157348,British Library HMNTS 11648.f.19.
383,Graduate,Yes,7167,0.0,128.0,360.0,1.0,Urban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157349,British Library HMNTS 11648.g.1.
384,Graduate,No,4566,0.0,100.0,360.0,1.0,Urban,N,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157371,British Library HMNTS 11781.g.54.
386,Not Graduate,No,2346,1600.0,132.0,360.0,1.0,Semiurban,Y,monographic,http://www.flickr.com/photos/britishlibrary/tags/sysnum000157633,British Library HMNTS 011651.i.42.
